项目,2020,2021,2022,2023,2024
信用减值损失,617500.0,0.0,0.0,0.0,0.0
公允价值变动收益,,116670089.93,12787831.1,29372432.9,32948581.67
其他收益,23403700.0,21113627.78,56358865.34,69945252.88,58932668.69
净利润,812063500.0,1192960407.59,1440520571.36,2039772803.92,3326429004.69
利润总额,1029549600.0000001,1513516814.41,1836009749.43,2579270935.59,4107312298.7
基本每股收益,2.26,3.112,3.6012,5.0993,6.3974
少数股东损益,0.0,0.0,0.0,0.0,-279847.75
归母净利润,812063500.0,1192960407.59,1440520571.36,2039772803.92,3326708852.44
归母综合收益总额,812063500.0,1192960407.59,1426180470.26,2059178043.77,3364095489.38
所得税费用,217486100.0,320556406.82,395489178.07,539498131.67,780883294.01
投资收益,9837100.0,22526715.57,70018458.5,141563599.81,95315854.42
研发费用,35542500.0,42798954.96,43754839.83,54390726.6,62671297.9
稀释每股收益,2.26,3.112,3.6012,5.0993,6.3974
税金及附加,50357600.0,76810518.27,92639167.1,121010841.7,159792746.97
管理费用,183896400.0,251642594.98,255524967.5,368594382.92,425653777.87
综合收益总额,812063500.0,1192960407.59,1426180470.26,2059178043.77,3363815641.63
营业利润,1050300500.0,1528557304.56,1854266667.12,2588367739.88,4144770035.72
营业外支出,22725800.0,17197589.01,20588743.18,11265935.23,39607987.57
营业外收入,1974900.0,2157098.86,2331825.49,2169130.94,2150250.55
营业成本,2647847500.0,3881564792.57,4905461328.73,6411653760.11,8741561002.65
营业收入,4958502600.0,6977822474.41,8505389730.5,11262794083.29,15838851828.27
财务费用,-15930900.0,-11393957.32,41039483.53,2285616.82,-190535731.5
资产减值损失,0.0,0.0,0.0,0.0,0.0
资产处置收益,,1016701.83,-2234206.0,-8506.2,-98089.03
销售费用,1040347300.0,1368384367.06,1449276084.58,1955671375.07,2681079787.33
