项目,2020,2021,2022,2023,2024
分配股利及偿付利息支付的现金,556381900.0,626666079.81,603452404.47,811027574.58,2051247908.98
取得借款收到的现金,523884400.0,637500000.0,3449720924.84,5908779858.25,9280129619.16
取得投资收益收到的现金,9803900.0,19440293.66,65714324.12,208200726.39,191563036.09
吸收投资收到的现金,0.0,1851262700.0,0.0,0.0,4056480.0
投资支付的现金,970000000.0,4777000000.0,6206560680.5,9172628106.18,19555962604.96
投资活动现金流入小计,842787300.0,1829341039.73,3670456756.61,9337801747.28,14367952896.05
投资活动现金流量净额,-772650399.9999999,-3563261621.8,-3335768590.48,-758306725.52,-6875490418.92
支付其他与经营活动有关的现金,703554100.0,811542419.02,842422452.36,1148026491.99,1668008468.07
支付的各项税费,652091500.0,860444030.65,1103941090.99,1536990561.26,1988655627.95
支付给职工及为职工支付的现金,694068500.0,889560856.09,1050734022.02,1271025740.89,1599829079.86
收到其他与经营活动有关的现金,60131800.0,58895859.53,96506586.17,144745340.73,182375993.66
收到的税费返还,1787400.0,33344421.09,22626625.16,12645485.1,44365029.58
收回投资收到的现金,830000000.0,1800000000.0,3597000000.0,9113153705.64,14172858167.35
期初现金及现金等价物余额,945095700.0000001,1178774830.35,999134854.54,1438571835.82,2875072998.95
期末现金及现金等价物余额,1178774800.0,999134854.54,1438571835.82,2875072998.95,3328162417.69
汇率变动影响,0.0,0.0,-15123032.52,-28557118.63,31721563.28
现金净增加额,233679100.0,-179639975.81,439436981.28,1436501163.13,453089418.74
筹资活动现金流量净额,-334033700.0,1306777608.32,1764223463.55,-1057904645.37,1507449765.84
经营活动现金流入小计,6330631300.0,8451644531.81,10260015403.12,14057435101.75,20656884623.49
经营活动现金流量净额,1340363200.0,2076844037.67,2026105140.73,3281269652.65,5789408508.54
购买商品接受劳务支付的现金,2940554000.0,3813253188.38,5236812697.02,6820122654.96,9610982939.07
购建长期资产支付的现金,645368800.0,609483991.45,792692471.88,917723628.09,1687480710.01
销售商品提供劳务收到的现金,6268712100.0,8359404251.19,10140882191.79,13900044275.92,20430143600.25
