项目,2020,2021,2022,2023,2024
一年内到期的非流动负债,61973400.0,42249748.58,39330686.71,33760345.16,13041362.89
一年内到期的非流动资产,80000000.0,986252349.32,1655093622.6,419742213.91,183568082.13
交易性金融资产,50000000.0,301261917.81,2037155429.38,1238553398.4,4897205586.42
使用权资产,,102807308.82,90980455.62,98174936.26,86836117.39
债权投资,100000000.0,150000000.0,382978835.61,1220077835.58,3671601896.69
其他应付款,411291000.0,552575974.9,656181548.34,817024990.21,1089394040.64
其他应收款,15021400.000000002,18483542.77,16020219.01,22274725.72,28431867.5
其他流动负债,74796700.0,78988361.8,58317614.11,160062442.69,371520129.99
其他流动资产,124795900.0,105019984.78,834270510.62,236991833.87,567357904.44
其他综合收益,0.0,0.0,-14340101.1,5065138.75,42451775.69
其他非流动资产,46671100.0,137910563.5,64646706.35,102780134.97,350072355.66
其他非流动金融资产,,1926155822.8,616703752.21,342612339.34,377153046.93
合同负债,950342899.9999999,1241369457.51,1627167583.75,2607221433.65,4760551285.38
固定资产,1404377000.0,1909130073.15,2232162538.75,2916220132.02,3669663003.83
在建工程,456271200.0,187129173.64,529413390.78,385046107.43,554066118.31
存货,272701300.0,340036039.63,394219877.51,568601205.75,1068083706.94
少数股东权益,0.0,0.0,0.0,0.0,3776632.2500019073
应交税费,119963100.0,153189196.81,312946949.22,234091923.4,378818813.91
应付票据,3000000.0,18000000.0,25000000.0,31000000.0,10000000.0
应付职工薪酬,103656600.0,168826278.54,178959171.96,284113115.28,415050092.71
应付账款,294979500.0,536388853.56,626195751.81,884360010.08,1255329118.42
应收账款,12851700.0,24573790.08,24753376.87,66355962.0,81308865.28
归母权益合计,1913253400.0,4238125540.7,5064291010.96,6323757848.37,7687803337.75
无形资产,236579199.99999997,322567166.2,357346380.54,484839552.69,746119457.72
未分配利润,1052444200.0,1557714145.87,2398219717.23,3638281314.79,4904938667.23
权益合计,1913253300.0,4238125540.7,5064291010.96,6323757848.37,7691579970.000002
流动负债合计,2130003100.0,3415087871.7,6705698938.93,8047339829.6,14845041765.22
流动资产合计,1958977200.0,2851526792.61,7246191093.87,8768561760.1,12705623457.77
盈余公积,112329500.0,200005000.0,200005000.0,200005000.0,260006500.0
短期借款,110000000.0,623500000.0,3181599633.03,2995705569.13,6551336921.28
租赁负债,0.0,94317364.27,85244622.44,95386367.7,85454382.38
股本,360000000.0,400010000.0,400010000.0,400010000.0,520013000.0
负债合计,2448033100.0,3552365618.2799997,6805357274.900001,8386292064.3,14984716162.9
货币资金,1224853700.0,1019104042.2,2157560463.61,6057691941.67,5652549123.16
资产总计,4361286400.0,7790491158.98,11869648285.86,14710049912.67,22676296132.9
资本公积,388479600.0,2080396394.83,2080396394.83,2080396394.83,1960393394.83
递延所得税负债,986400.0,4017997.05,749307.98,3605351.25,3268716.41
递延所得税资产,133601600.0,179666923.44,321150279.35,359184868.88,459838675.13
递延收益,15317000.0,13117385.26,13664405.55,19960515.75,50951298.89
长期借款,301726600.0,25825000.0,0.0,220000000.0,0.0
长期待摊费用,24809100.0,23597334.82,28074852.78,32552245.4,55322003.47
非流动负债合计,318030000.0,137277746.58,99658335.97,338952234.7,139674397.68
非流动资产合计,2402309300.0,4938964366.37,4623457191.99,5941488152.57,9970672675.13
预付款项,178753200.0,56795126.02,127117594.27,158350478.78,227118321.9
