市场,代码,公司,年度,币种,营业收入,营业成本,毛利,销售费用,管理费用,研发费用,财务费用,营业利润,利润总额,归母净利润,经营活动现金流量净额,购建长期资产支付的现金,货币资金,存货,流动资产合计,固定资产,无形资产,总资产,短期借款,长期借款,流动负债合计,总负债,归母权益,毛利率,归母净利率,销售费用率,管理费用率,研发费用率,财务费用率,三费费率,ROA,ROE,资产负债率,流动比率,现金比率,经营现金流/归母净利润,资本开支/收入,官方文件类型,官方来源
A股,603156.SH,养元饮品,2024,人民币,6057544892.2600002289,3238814226.4600000381,2818730665.8000001907,712470607.3600000143,74725102.5900000036,44042796.5600000024,-64190138.6799999997,2215181609.8499999046,2205250021.2699999809,1721987800.2899999619,1430816867.9600000381,37770802.6700000018,917813668.2599999905,767229903.2699999809,8064950394.9799995422,1068850208.3700000048,133461567.6899999976,13824669774.1700000763,877000000.0000000000,86240980.1500000060,3678584163.4800000191,3678584163.4800000191,10012801967.4699993134,0.4653255925,0.2842715706,0.1176170577,0.0123358727,0.0072707338,-0.0105967252,0.1372236643,0.1150063578,0.1634898191,0.2660883930,2.1924061097,0.2495018810,0.8309099912,0.0062353319,2024年年度报告,E:\Codex\investment\饮料可比公司研究\raw\official\A股_603156.SH_养元饮品_2024_年报全文.pdf
A股,603156.SH,养元饮品,2025,人民币,3905326394.3699998856,2164809816.4699997902,1740516577.9000000954,478379354.3000000119,65493298.4900000021,31934637.9200000018,-28310322.7300000004,1418722265.5699999332,1414644396.5899999142,1119043318.8699998856,-165004678.9000000060,34375704.7199999988,620889966.1399999857,425521714.3600000143,5393776506.6899995804,999390432.3700000048,131335356.1200000048,11318343947.5200004578,510000000.0000000000,90656867.0999999940,2191730447.1100001335,2191730447.1100001335,8988583920.1499996185,0.4456776213,0.2865428407,0.1224940776,0.0167702496,0.0081772007,-0.0072491566,0.1474415279,0.0890142551,0.1177854421,0.1936440929,2.4609670928,0.2832875580,-0.1474515563,0.0088022616,2025年第三季度报告,E:\Codex\investment\饮料可比公司研究\raw\official\A股_603156.SH_养元饮品_2025_Q3_季度报告.pdf
A股,000848.SZ,承德露露,2024,人民币,3287292242.2699999809,1941394035.5399999619,1345898206.7300000191,418383805.6999999881,55365343.7700000033,15783776.8800000008,-51704612.5900000036,879829678.5800000429,880065353.1599999666,666239411.2200000286,630404373.9700000286,215067739.8400000036,3390023990.5700001717,192501283.4399999976,3611459651.0700001717,560296081.1399999857,297895836.9200000167,4591344198.8599996567,5600000.0000000000,133500000.0000000000,963689198.6900000572,963689198.6900000572,3438855446.6900000572,0.4094245682,0.2026711841,0.1272730791,0.0168422336,0.0048014523,-0.0157286328,0.1489167650,0.1518912717,0.2041302429,0.2098926059,3.7475356743,3.5177565497,0.9462129729,0.0654239794,2024年年度报告,E:\Codex\investment\饮料可比公司研究\raw\official\A股_000848.SZ_承德露露_2024_年报全文.pdf
A股,000848.SZ,承德露露,2025,人民币,1955912695.0399999619,1063626068.9900000095,892286626.0499999523,365404988.0799999833,39701506.0700000003,6469744.0000000000,-26060545.0199999996,492118218.0099999905,492257893.3399999738,383602023.5699999928,237166894.5000000000,117596423.5999999940,3505240095.3299999237,169506903.8300000131,3701978535.1599998474,579307181.8899999857,295951448.2699999809,4717671367.0600004196,26600000.0000000000,420900000.0000000000,683803591.0800000429,683803591.0800000429,3517503802.3499999046,0.4561996189,0.1961243079,0.1868207047,0.0202981995,0.0033077877,-0.0133239817,0.2104266919,0.0824151643,0.1102881579,0.1449451515,5.4138038809,5.1260919671,0.6182628869,0.0601235545,2025年第三季度报告,E:\Codex\investment\饮料可比公司研究\raw\official\A股_000848.SZ_承德露露_2025_Q3_季度报告.pdf
A股,603711.SH,香飘飘,2024,人民币,3287298269.9899997711,2027064271.1700000763,1260233998.8199996948,761262564.2200000286,223627843.5600000024,37185446.1799999997,-59521123.1400000006,309983809.9300000072,307306510.1600000262,253191562.2700000107,264978950.5900000036,57078462.2500000000,2485493953.9000000954,186184656.9699999988,2995034807.8000001907,1342603410.4600000381,177036102.7400000095,4873264401.9499998093,674000000.0000000000,1043332.3100000001,1292349484.4600000381,1292349484.4600000381,3494451049.8699998856,0.3833646646,0.0770211710,0.2315769674,0.0680278530,0.0113118565,-0.0181063957,0.3109166769,0.0500937521,0.0739910462,0.2651917437,2.3175115120,1.9232366970,1.0465552178,0.0173633353,2024年年度报告,E:\Codex\investment\饮料可比公司研究\raw\official\A股_603711.SH_香飘飘_2024_年报全文.pdf
A股,603711.SH,香飘飘,2025,人民币,1683873554.4000000954,1129738126.0599999428,554135428.3400001526,499899198.5400000215,154656687.0200000107,43735699.4200000018,-16489960.5600000005,-113809454.8700000048,-118500015.2099999934,-89207185.3199999928,-26957483.0100000016,70886516.3599999994,2102621932.4300000668,184263569.0800000131,2834950485.8699998856,1254263942.3399999142,174964033.1299999952,4722809658.6999998093,754200000.0000000000,1043332.3100000001,1345178960.6400001049,1345178960.6400001049,3302659545.3800001144,0.3290837527,-0.0529773658,0.2968745469,0.0918457842,0.0259732682,-0.0097928734,0.4146935993,-0.0185924337,-0.0262485608,0.2848259951,2.1074894634,1.5630797046,0.3021895928,0.0420972918,2025年第三季度报告,E:\Codex\investment\饮料可比公司研究\raw\official\A股_603711.SH_香飘飘_2025_Q3_季度报告.pdf
A股,605337.SH,李子园,2024,人民币,1415072375.6800000668,862005362.8500000238,553067012.8300000429,201355748.7800000012,85903884.2099999934,19622844.7199999988,-3629362.0699999998,292693902.3100000024,286825513.9100000262,223803666.9099999964,360408945.8500000238,139763827.9199999869,624767417.7000000477,186838923.8799999952,1150110736.7100000381,975494985.1900000572,131930361.6500000060,2988138207.1900000572,30000000.0000000000,588646215.7300000191,585226798.1900000572,585226798.1900000572,1729944512.6700000763,0.3908400887,0.1581570461,0.1422936044,0.0607063537,0.0138670255,-0.0025647890,0.2168669836,0.0740248876,0.1302941128,0.1958499767,1.9652393572,1.0675646085,1.6103799854,0.0987679714,2024年年度报告,E:\Codex\investment\饮料可比公司研究\raw\official\A股_605337.SH_李子园_2024_年报全文.pdf
A股,605337.SH,李子园,2025,人民币,973407177.2200000286,590358652.2100000381,383048525.0099999905,150459467.5900000036,65489806.3200000003,11435309.3399999999,1366316.4500000000,183108593.5600000024,185963681.9000000060,147915118.4199999869,316967669.3999999762,173512180.4199999869,581259051.0199999809,174851900.4600000083,1250670646.5699999332,906029596.3700000048,154307828.0399999917,3199891312.2600002289,218029861.1100000143,603006430.6399999857,888300381.6000000238,888300381.6000000238,1598441506.4900000095,0.3935131505,0.1519560590,0.1545699180,0.0672789433,0.0117477142,0.0014036433,0.2335965756,0.0478068561,0.0888809877,0.2776032980,1.4079366310,0.6543496581,2.1429024483,0.1782524153,2025年第三季度报告,E:\Codex\investment\饮料可比公司研究\raw\official\A股_605337.SH_李子园_2025_Q3_季度报告.pdf
A股,300997.SZ,欢乐家,2024,人民币,1854775974.7899999619,1224144451.0299999714,630631523.7599999905,292758834.4800000191,136202576.7500000000,4802225.4000000004,2976248.5600000001,199054093.2800000012,197220719.5699999928,147380329.5699999928,60260140.1499999985,101161063.1599999964,657343187.7300000191,252336225.0099999905,1104954678.7400000095,664000196.0299999714,159144581.6500000060,2054739278.3299999237,214315648.3799999952,32983990.8700000010,874465145.8799999952,874465145.8799999952,1134105074.1700000763,0.3400041473,0.0794599087,0.1578405362,0.0734334381,0.0025891134,0.0016046405,0.2338630878,0.0688430877,0.1126074298,0.4255844793,1.2635777240,0.7517088483,0.4088750536,0.0545408527,2024年年度报告,E:\Codex\investment\饮料可比公司研究\raw\official\A股_300997.SZ_欢乐家_2024_年报全文.pdf
A股,300997.SZ,欢乐家,2025,人民币,1500390760.5000000000,1056489002.2500000000,443901758.2500000000,218025454.0800000131,130911358.7999999970,2240667.7500000000,6824166.2699999996,66541704.0799999982,64947357.3900000006,44174613.7899999991,88493838.3799999952,82491825.5000000000,529455299.4700000286,238679035.3799999952,1012252533.3999999762,651682762.5900000334,159014603.0300000012,1926813907.8599998951,300331495.7099999785,45542518.0300000012,819867480.6100000143,819867480.6100000143,1045468370.4600000381,0.2958574326,0.0294420727,0.1453124478,0.0872515096,0.0014933895,0.0045482593,0.2340573468,0.0221896389,0.0405351000,0.4255042364,1.2346538402,0.6457815586,2.0032736178,0.0549802276,2025年年度报告,E:\Codex\investment\饮料可比公司研究\raw\official\A股_300997.SZ_欢乐家_2025_年报全文.pdf
