市场,代码,公司,年度,币种,营业收入,营业成本,毛利,销售费用,管理费用,研发费用,财务费用,营业利润,利润总额,归母净利润,经营活动现金流量净额,购建长期资产支付的现金,货币资金,存货,流动资产合计,固定资产,无形资产,总资产,短期借款,长期借款,流动负债合计,总负债,归母权益,毛利率,归母净利率,销售费用率,管理费用率,研发费用率,财务费用率,三费费率,ROA,ROE,资产负债率,流动比率,现金比率,经营现金流/归母净利润,资本开支/收入,官方文件类型,官方来源
A股,000848.SZ,承德露露,2024,人民币,3287292242.27,1941394035.54,1345898206.73,418383805.7,55365343.77,15783776.88,-51704612.59,879829678.58,880065353.1599998,666239411.22,630404373.97,215067739.84,3390023990.57,192501283.44,3611459651.07,560296081.14,297895836.92,4591344198.86,5600000.0,133500000.0,963689198.69,963689198.69,3438855446.69,0.4094245682,0.2026711841,0.1272730791,0.0168422336,0.0048014523,-0.0157286328,0.148916765,0.1518912717,0.2041302429,0.2098926059,3.7475356743,3.5177565497,0.9462129729,0.0654239794,2024年年度报告,E:\Codex\investment\饮料可比公司研究\raw\official\A股_000848.SZ_承德露露_2024_年报全文.pdf
A股,000848.SZ,承德露露,2025,人民币,1955912695.04,1063626068.99,892286626.0499998,365404988.08,39701506.07,6469744.0,-26060545.02,492118218.01,492257893.34,383602023.57,237166894.5,117596423.6,3505240095.33,169506903.83,3701978535.16,579307181.89,295951448.27,4717671367.06,26600000.0,420900000.0,683803591.08,683803591.08,3517503802.35,0.4561996189,0.1961243079,0.1868207047,0.0202981995,0.0033077877,-0.0133239817,0.2104266919,0.0824151643,0.1102881579,0.1449451515,5.4138038809,5.1260919671,0.6182628869,0.0601235545,2025年第三季度报告,E:\Codex\investment\饮料可比公司研究\raw\official\A股_000848.SZ_承德露露_2025_Q3_季度报告.pdf
A股,300997.SZ,欢乐家,2024,人民币,1854775974.79,1224144451.03,630631523.76,292758834.48,136202576.75,4802225.4,2976248.56,199054093.28,197220719.57,147380329.57,60260140.15,101161063.16,657343187.73,252336225.01,1104954678.74,664000196.03,159144581.65,2054739278.33,214315648.38,32983990.87,874465145.88,874465145.88,1134105074.17,0.3400041473,0.0794599087,0.1578405362,0.0734334381,0.0025891134,0.0016046405,0.2338630878,0.0688430877,0.1126074298,0.4255844793,1.263577724,0.7517088483,0.4088750536,0.0545408527,2024年年度报告,E:\Codex\investment\饮料可比公司研究\raw\official\A股_300997.SZ_欢乐家_2024_年报全文.pdf
A股,300997.SZ,欢乐家,2025,人民币,1500390760.5,1056489002.25,443901758.25,218025454.08,130911358.8,2240667.75,6824166.27,66541704.08,64947357.39,44174613.79,88493838.37999998,82491825.5,529455299.47,238679035.38,1012252533.4,651682762.59,159014603.03,1926813907.86,300331495.71,45542518.03,819867480.61,819867480.61,1045468370.46,0.2958574326,0.0294420727,0.1453124478,0.0872515096,0.0014933895,0.0045482593,0.2340573468,0.0221896389,0.0405351,0.4255042364,1.2346538402,0.6457815586,2.0032736178,0.0549802276,2025年年度报告,E:\Codex\investment\饮料可比公司研究\raw\official\A股_300997.SZ_欢乐家_2025_年报全文.pdf
A股,603156.SH,养元饮品,2024,人民币,6057544892.26,3238814226.46,2818730665.8,712470607.36,74725102.59,44042796.56,-64190138.68,2215181609.85,2205250021.27,1721987800.29,1430816867.96,37770802.67,917813668.2600001,767229903.27,8064950394.979999,1068850208.37,133461567.69,13824669774.17,877000000.0,86240980.15,3678584163.48,3678584163.48,10012801967.47,0.4653255925,0.2842715706,0.1176170577,0.0123358727,0.0072707338,-0.0105967252,0.1372236643,0.1150063578,0.1634898191,0.266088393,2.1924061097,0.249501881,0.8309099912,0.0062353319,2024年年度报告,E:\Codex\investment\饮料可比公司研究\raw\official\A股_603156.SH_养元饮品_2024_年报全文.pdf
A股,603156.SH,养元饮品,2025,人民币,3905326394.37,2164809816.47,1740516577.9,478379354.3,65493298.49,31934637.92,-28310322.73,1418722265.57,1414644396.59,1119043318.87,-165004678.9,34375704.72,620889966.14,425521714.36,5393776506.69,999390432.37,131335356.12,11318343947.52,510000000.0,90656867.1,2191730447.11,2191730447.11,8988583920.149998,0.4456776213,0.2865428407,0.1224940776,0.0167702496,0.0081772007,-0.0072491566,0.1474415279,0.0890142551,0.1177854421,0.1936440929,2.4609670928,0.283287558,-0.1474515563,0.0088022616,2025年第三季度报告,E:\Codex\investment\饮料可比公司研究\raw\official\A股_603156.SH_养元饮品_2025_Q3_季度报告.pdf
A股,603711.SH,香飘飘,2024,人民币,3287298269.99,2027064271.17,1260233998.8199997,761262564.22,223627843.56,37185446.18,-59521123.14,309983809.93,307306510.16,253191562.27,264978950.59,57078462.25,2485493953.9,186184656.97,2995034807.8,1342603410.46,177036102.74,4873264401.95,674000000.0,1043332.31,1292349484.46,1292349484.46,3494451049.87,0.3833646646,0.077021171,0.2315769674,0.068027853,0.0113118565,-0.0181063957,0.3109166769,0.0500937521,0.0739910462,0.2651917437,2.317511512,1.923236697,1.0465552178,0.0173633353,2024年年度报告,E:\Codex\investment\饮料可比公司研究\raw\official\A股_603711.SH_香飘飘_2024_年报全文.pdf
A股,603711.SH,香飘飘,2025,人民币,1683873554.4,1129738126.06,554135428.3400002,499899198.54,154656687.02,43735699.42,-16489960.56,-113809454.87,-118500015.21,-89207185.31999998,-26957483.01,70886516.36,2102621932.43,184263569.08,2834950485.87,1254263942.34,174964033.13,4722809658.7,754200000.0,1043332.31,1345178960.64,1345178960.64,3302659545.38,0.3290837527,-0.0529773658,0.2968745469,0.0918457842,0.0259732682,-0.0097928734,0.4146935993,-0.0185924337,-0.0262485608,0.2848259951,2.1074894634,1.5630797046,0.3021895928,0.0420972918,2025年第三季度报告,E:\Codex\investment\饮料可比公司研究\raw\official\A股_603711.SH_香飘飘_2025_Q3_季度报告.pdf
A股,605337.SH,李子园,2024,人民币,1415072375.68,862005362.85,553067012.83,201355748.78,85903884.20999998,19622844.72,-3629362.07,292693902.31,286825513.91,223803666.91,360408945.85,139763827.92,624767417.7,186838923.88,1150110736.71,975494985.19,131930361.65,2988138207.19,30000000.0,588646215.73,585226798.19,585226798.19,1729944512.67,0.3908400887,0.1581570461,0.1422936044,0.0607063537,0.0138670255,-0.002564789,0.2168669836,0.0740248876,0.1302941128,0.1958499767,1.9652393572,1.0675646085,1.6103799854,0.0987679714,2024年年度报告,E:\Codex\investment\饮料可比公司研究\raw\official\A股_605337.SH_李子园_2024_年报全文.pdf
A股,605337.SH,李子园,2025,人民币,973407177.22,590358652.21,383048525.01,150459467.59,65489806.32,11435309.34,1366316.45,183108593.56,185963681.9,147915118.42,316967669.4,173512180.42,581259051.02,174851900.46,1250670646.57,906029596.37,154307828.04,3199891312.26,218029861.11,603006430.64,888300381.6,888300381.6,1598441506.49,0.3935131505,0.151956059,0.154569918,0.0672789433,0.0117477142,0.0014036433,0.2335965756,0.0478068561,0.0888809877,0.277603298,1.407936631,0.6543496581,2.1429024483,0.1782524153,2025年第三季度报告,E:\Codex\investment\饮料可比公司研究\raw\official\A股_605337.SH_李子园_2025_Q3_季度报告.pdf
